areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2021-05-08,1200,3871961
nation,England,E92000001,2021-05-07,1557,3870761
nation,England,E92000001,2021-05-06,1801,3869204
nation,England,E92000001,2021-05-05,2037,3867403
nation,England,E92000001,2021-05-04,2039,3865366
nation,England,E92000001,2021-05-03,1694,3863327
nation,England,E92000001,2021-05-02,1215,3861633
nation,England,E92000001,2021-05-01,1124,3860418
nation,England,E92000001,2021-04-30,1408,3859294
nation,England,E92000001,2021-04-29,1762,3857886
nation,England,E92000001,2021-04-28,2019,3856124
nation,England,E92000001,2021-04-27,1693,3854105
nation,England,E92000001,2021-04-26,2089,3852412
nation,England,E92000001,2021-04-25,1774,3850323
nation,England,E92000001,2021-04-24,1205,3848549
nation,England,E92000001,2021-04-23,1578,3847344
nation,England,E92000001,2021-04-22,1882,3845766
nation,England,E92000001,2021-04-21,2124,3843884
nation,England,E92000001,2021-04-20,1941,3841760
nation,England,E92000001,2021-04-19,2130,3839819
nation,England,E92000001,2021-04-18,2134,3837689
nation,England,E92000001,2021-04-17,1308,3835555
nation,England,E92000001,2021-04-16,1807,3834247
nation,England,E92000001,2021-04-15,1799,3832440
nation,England,E92000001,2021-04-14,1937,3830641
nation,England,E92000001,2021-04-13,1908,3828704
nation,England,E92000001,2021-04-12,2235,3826796
nation,England,E92000001,2021-04-11,1898,3824561
nation,England,E92000001,2021-04-10,1887,3822663
nation,England,E92000001,2021-04-09,2316,3820776
nation,England,E92000001,2021-04-08,2478,3818460
nation,England,E92000001,2021-04-07,2588,3815982
nation,England,E92000001,2021-04-06,2560,3813394
nation,England,E92000001,2021-04-05,2190,3810834
nation,England,E92000001,2021-04-04,1926,3808644
nation,England,E92000001,2021-04-03,2015,3806718
nation,England,E92000001,2021-04-02,2127,3804703
nation,England,E92000001,2021-04-01,2866,3802576
nation,England,E92000001,2021-03-31,3141,3799710
nation,England,E92000001,2021-03-30,2953,3796569
nation,England,E92000001,2021-03-29,3199,3793616
nation,England,E92000001,2021-03-28,4095,3790417
nation,England,E92000001,2021-03-27,2939,3786322
nation,England,E92000001,2021-03-26,3621,3783383
nation,England,E92000001,2021-03-25,4446,3779762
nation,England,E92000001,2021-03-24,5108,3775316
nation,England,E92000001,2021-03-23,4337,3770208
nation,England,E92000001,2021-03-22,5144,3765871
nation,England,E92000001,2021-03-21,4516,3760727
nation,England,E92000001,2021-03-20,3368,3756211
nation,England,E92000001,2021-03-19,4139,3752843
nation,England,E92000001,2021-03-18,4521,3748704
nation,England,E92000001,2021-03-17,4850,3744183
nation,England,E92000001,2021-03-16,4740,3739333
nation,England,E92000001,2021-03-15,5437,3734593
nation,England,E92000001,2021-03-14,3583,3729156
nation,England,E92000001,2021-03-13,3450,3725573
nation,England,E92000001,2021-03-12,4613,3722123
nation,England,E92000001,2021-03-11,4686,3717510
nation,England,E92000001,2021-03-10,5008,3712824
nation,England,E92000001,2021-03-09,5214,3707816
nation,England,E92000001,2021-03-08,5566,3702602
nation,England,E92000001,2021-03-07,3541,3697036
nation,England,E92000001,2021-03-06,3702,3693495
nation,England,E92000001,2021-03-05,4553,3689793
nation,England,E92000001,2021-03-04,4790,3685240
nation,England,E92000001,2021-03-03,5095,3680450
nation,England,E92000001,2021-03-02,5682,3675355
nation,England,E92000001,2021-03-01,5890,3669673
nation,England,E92000001,2021-02-28,3952,3663783
nation,England,E92000001,2021-02-27,4103,3659831
nation,England,E92000001,2021-02-26,5666,3655728
nation,England,E92000001,2021-02-25,6611,3650062
nation,England,E92000001,2021-02-24,7291,3643451
nation,England,E92000001,2021-02-23,8140,3636160
nation,England,E92000001,2021-02-22,9855,3628020
nation,England,E92000001,2021-02-21,6799,3618165
nation,England,E92000001,2021-02-20,6889,3611366
nation,England,E92000001,2021-02-19,8882,3604477
nation,England,E92000001,2021-02-18,9906,3595595
nation,England,E92000001,2021-02-17,10021,3585689
nation,England,E92000001,2021-02-16,10817,3575668
nation,England,E92000001,2021-02-15,12469,3564851
nation,England,E92000001,2021-02-14,7534,3552382
nation,England,E92000001,2021-02-13,7739,3544848
nation,England,E92000001,2021-02-12,10562,3537109
nation,England,E92000001,2021-02-11,11227,3526547
nation,England,E92000001,2021-02-10,11838,3515320
nation,England,E92000001,2021-02-09,12240,3503482
nation,England,E92000001,2021-02-08,13842,3491242
nation,England,E92000001,2021-02-07,10152,3477400
nation,England,E92000001,2021-02-06,10585,3467248
nation,England,E92000001,2021-02-05,13972,3456663
nation,England,E92000001,2021-02-04,16153,3442691
nation,England,E92000001,2021-02-03,17405,3426538
nation,England,E92000001,2021-02-02,17657,3409133
nation,England,E92000001,2021-02-01,20114,3391476
nation,England,E92000001,2021-01-31,13705,3371362
nation,England,E92000001,2021-01-30,15001,3357657
nation,England,E92000001,2021-01-29,19679,3342656
nation,England,E92000001,2021-01-28,21838,3322977
nation,England,E92000001,2021-01-27,23235,3301139
nation,England,E92000001,2021-01-26,24434,3277904
nation,England,E92000001,2021-01-25,27107,3253470
nation,England,E92000001,2021-01-24,15454,3226363
nation,England,E92000001,2021-01-23,19876,3210909
nation,England,E92000001,2021-01-22,26909,3191033
nation,England,E92000001,2021-01-21,28753,3164124
nation,England,E92000001,2021-01-20,31754,3135371
nation,England,E92000001,2021-01-19,35970,3103617
nation,England,E92000001,2021-01-18,40717,3067647
nation,England,E92000001,2021-01-17,26205,3026930
nation,England,E92000001,2021-01-16,27653,3000725
nation,England,E92000001,2021-01-15,36788,2973072
nation,England,E92000001,2021-01-14,38514,2936284
nation,England,E92000001,2021-01-13,41152,2897770
nation,England,E92000001,2021-01-12,44674,2856618
nation,England,E92000001,2021-01-11,51991,2811944
nation,England,E92000001,2021-01-10,32855,2759953
nation,England,E92000001,2021-01-09,35443,2727098
nation,England,E92000001,2021-01-08,42334,2691655
nation,England,E92000001,2021-01-07,46852,2649321
nation,England,E92000001,2021-01-06,51314,2602469
nation,England,E92000001,2021-01-05,58034,2551155
nation,England,E92000001,2021-01-04,69103,2493121
nation,England,E92000001,2021-01-03,49510,2424018
nation,England,E92000001,2021-01-02,54166,2374508
nation,England,E92000001,2021-01-01,28223,2320342
nation,England,E92000001,2020-12-31,46684,2292119
nation,England,E92000001,2020-12-30,62888,2245435
nation,England,E92000001,2020-12-29,72508,2182547
nation,England,E92000001,2020-12-28,40035,2110039
nation,England,E92000001,2020-12-27,42431,2070004
nation,England,E92000001,2020-12-26,36707,2027573
nation,England,E92000001,2020-12-25,12674,1990866
nation,England,E92000001,2020-12-24,28698,1978192
nation,England,E92000001,2020-12-23,37611,1949494
nation,England,E92000001,2020-12-22,40902,1911883
nation,England,E92000001,2020-12-21,42591,1870981
nation,England,E92000001,2020-12-20,28937,1828390
nation,England,E92000001,2020-12-19,21737,1799453
nation,England,E92000001,2020-12-18,31827,1777716
nation,England,E92000001,2020-12-17,29591,1745889
nation,England,E92000001,2020-12-16,30120,1716298
nation,England,E92000001,2020-12-15,29099,1686178
nation,England,E92000001,2020-12-14,29515,1657079
nation,England,E92000001,2020-12-13,18132,1627564
nation,England,E92000001,2020-12-12,16032,1609432
nation,England,E92000001,2020-12-11,19867,1593400
nation,England,E92000001,2020-12-10,18543,1573533
nation,England,E92000001,2020-12-09,17462,1554990
nation,England,E92000001,2020-12-08,16673,1537528
nation,England,E92000001,2020-12-07,17398,1520855
nation,England,E92000001,2020-12-06,10870,1503457
nation,England,E92000001,2020-12-05,10145,1492587
nation,England,E92000001,2020-12-04,12883,1482442
nation,England,E92000001,2020-12-03,12529,1469559
nation,England,E92000001,2020-12-02,13466,1457030
nation,England,E92000001,2020-12-01,13518,1443564
nation,England,E92000001,2020-11-30,15031,1430046
nation,England,E92000001,2020-11-29,8905,1415015
nation,England,E92000001,2020-11-28,9205,1406110
nation,England,E92000001,2020-11-27,12268,1396905
nation,England,E92000001,2020-11-26,12276,1384637
nation,England,E92000001,2020-11-25,13929,1372361
nation,England,E92000001,2020-11-24,14027,1358432
nation,England,E92000001,2020-11-23,16210,1344405
nation,England,E92000001,2020-11-22,10038,1328195
nation,England,E92000001,2020-11-21,10615,1318157
nation,England,E92000001,2020-11-20,14679,1307542
nation,England,E92000001,2020-11-19,15501,1292863
nation,England,E92000001,2020-11-18,18212,1277362
nation,England,E92000001,2020-11-17,20325,1259150
nation,England,E92000001,2020-11-16,23729,1238825
nation,England,E92000001,2020-11-15,14207,1215096
nation,England,E92000001,2020-11-14,16035,1200889
nation,England,E92000001,2020-11-13,21649,1184854
nation,England,E92000001,2020-11-12,21948,1163205
nation,England,E92000001,2020-11-11,24648,1141257
nation,England,E92000001,2020-11-10,24467,1116609
nation,England,E92000001,2020-11-09,28092,1092142
nation,England,E92000001,2020-11-08,17964,1064050
nation,England,E92000001,2020-11-07,16615,1046086
nation,England,E92000001,2020-11-06,20825,1029471
nation,England,E92000001,2020-11-05,20872,1008646
nation,England,E92000001,2020-11-04,20689,987774
nation,England,E92000001,2020-11-03,22313,967085
nation,England,E92000001,2020-11-02,27924,944772
nation,England,E92000001,2020-11-01,13367,916848
nation,England,E92000001,2020-10-31,14346,903481
nation,England,E92000001,2020-10-30,19643,889135
nation,England,E92000001,2020-10-29,19974,869492
nation,England,E92000001,2020-10-28,20229,849518
nation,England,E92000001,2020-10-27,20489,829289
nation,England,E92000001,2020-10-26,22751,808800
nation,England,E92000001,2020-10-25,13164,786049
nation,England,E92000001,2020-10-24,13523,772885
nation,England,E92000001,2020-10-23,18105,759362
nation,England,E92000001,2020-10-22,19610,741257
nation,England,E92000001,2020-10-21,21488,721647
nation,England,E92000001,2020-10-20,21332,700159
nation,England,E92000001,2020-10-19,22106,678827
nation,England,E92000001,2020-10-18,11855,656721
nation,England,E92000001,2020-10-17,12352,644866
nation,England,E92000001,2020-10-16,14549,632514
nation,England,E92000001,2020-10-15,15236,617965
nation,England,E92000001,2020-10-14,16435,602729
nation,England,E92000001,2020-10-13,15430,586294
nation,England,E92000001,2020-10-12,16196,570864
nation,England,E92000001,2020-10-11,9651,554668
nation,England,E92000001,2020-10-10,10156,545017
nation,England,E92000001,2020-10-09,13009,534861
nation,England,E92000001,2020-10-08,15263,521852
nation,England,E92000001,2020-10-07,15192,506589
nation,England,E92000001,2020-10-06,14296,491397
nation,England,E92000001,2020-10-05,14034,477101
nation,England,E92000001,2020-10-04,9836,463067
nation,England,E92000001,2020-10-03,9704,453231
nation,England,E92000001,2020-10-02,11573,443527
nation,England,E92000001,2020-10-01,11302,431954
nation,England,E92000001,2020-09-30,10520,420652
nation,England,E92000001,2020-09-29,8723,410132
nation,England,E92000001,2020-09-28,8578,401409
nation,England,E92000001,2020-09-27,6023,392831
nation,England,E92000001,2020-09-26,5648,386808
nation,England,E92000001,2020-09-25,6036,381160
nation,England,E92000001,2020-09-24,6286,375124
nation,England,E92000001,2020-09-23,5886,368838
nation,England,E92000001,2020-09-22,5358,362952
nation,England,E92000001,2020-09-21,4701,357594
nation,England,E92000001,2020-09-20,4623,352893
nation,England,E92000001,2020-09-19,4177,348270
nation,England,E92000001,2020-09-18,4273,344093
nation,England,E92000001,2020-09-17,3938,339820
nation,England,E92000001,2020-09-16,3744,335882
nation,England,E92000001,2020-09-15,3040,332138
nation,England,E92000001,2020-09-14,2895,329098
nation,England,E92000001,2020-09-13,1708,326203
nation,England,E92000001,2020-09-12,2205,324495
nation,England,E92000001,2020-09-11,2854,322290
nation,England,E92000001,2020-09-10,3102,319436
nation,England,E92000001,2020-09-09,2850,316334
nation,England,E92000001,2020-09-08,3000,313484
nation,England,E92000001,2020-09-07,3461,310484
nation,England,E92000001,2020-09-06,2057,307023
nation,England,E92000001,2020-09-05,2189,304966
nation,England,E92000001,2020-09-04,2590,302777
nation,England,E92000001,2020-09-03,2665,300187
nation,England,E92000001,2020-09-02,2615,297522
nation,England,E92000001,2020-09-01,1928,294907
nation,England,E92000001,2020-08-31,1260,292979
nation,England,E92000001,2020-08-30,977,291719
nation,England,E92000001,2020-08-29,1040,290742
nation,England,E92000001,2020-08-28,1383,289702
nation,England,E92000001,2020-08-27,1325,288319
nation,England,E92000001,2020-08-26,1138,286994
nation,England,E92000001,2020-08-25,1062,285856
nation,England,E92000001,2020-08-24,1134,284794
nation,England,E92000001,2020-08-23,697,283660
nation,England,E92000001,2020-08-22,716,282963
nation,England,E92000001,2020-08-21,1006,282247
nation,England,E92000001,2020-08-20,1219,281241
nation,England,E92000001,2020-08-19,1073,280022
nation,England,E92000001,2020-08-18,924,278949
nation,England,E92000001,2020-08-17,1136,278025
nation,England,E92000001,2020-08-16,529,276889
nation,England,E92000001,2020-08-15,643,276360
nation,England,E92000001,2020-08-14,1038,275717
nation,England,E92000001,2020-08-13,1020,274679
nation,England,E92000001,2020-08-12,1095,273659
nation,England,E92000001,2020-08-11,1211,272564
nation,England,E92000001,2020-08-10,1350,271353
nation,England,E92000001,2020-08-09,555,270003
nation,England,E92000001,2020-08-08,636,269448
nation,England,E92000001,2020-08-07,865,268812
nation,England,E92000001,2020-08-06,980,267947
nation,England,E92000001,2020-08-05,942,266967
nation,England,E92000001,2020-08-04,920,266025
nation,England,E92000001,2020-08-03,938,265105
nation,England,E92000001,2020-08-02,512,264167
nation,England,E92000001,2020-08-01,494,263655
nation,England,E92000001,2020-07-31,626,263161
nation,England,E92000001,2020-07-30,858,262535
nation,England,E92000001,2020-07-29,972,261677
nation,England,E92000001,2020-07-28,779,260705
nation,England,E92000001,2020-07-27,808,259926
nation,England,E92000001,2020-07-26,515,259118
nation,England,E92000001,2020-07-25,493,258603
nation,England,E92000001,2020-07-24,717,258110
nation,England,E92000001,2020-07-23,731,257393
nation,England,E92000001,2020-07-22,745,256662
nation,England,E92000001,2020-07-21,690,255917
nation,England,E92000001,2020-07-20,753,255227
nation,England,E92000001,2020-07-19,415,254474
nation,England,E92000001,2020-07-18,467,254059
nation,England,E92000001,2020-07-17,548,253592
nation,England,E92000001,2020-07-16,640,253044
nation,England,E92000001,2020-07-15,724,252404
nation,England,E92000001,2020-07-14,651,251680
nation,England,E92000001,2020-07-13,690,251029
nation,England,E92000001,2020-07-12,353,250339
nation,England,E92000001,2020-07-11,420,249986
nation,England,E92000001,2020-07-10,518,249566
nation,England,E92000001,2020-07-09,683,249048
nation,England,E92000001,2020-07-08,672,248365
nation,England,E92000001,2020-07-07,558,247693
nation,England,E92000001,2020-07-06,654,247135
nation,England,E92000001,2020-07-05,541,246481
nation,England,E92000001,2020-07-04,386,245940
nation,England,E92000001,2020-07-03,540,245554
nation,England,E92000001,2020-07-02,565,245014
nation,England,E92000001,2020-07-01,616,244449
nation,England,E92000001,2020-06-30,573,243833
nation,England,E92000001,2020-06-29,667,243260
nation,England,E92000001,2020-06-28,410,242593
nation,England,E92000001,2020-06-27,504,242183
nation,England,E92000001,2020-06-26,641,241679
nation,England,E92000001,2020-06-25,635,241038
nation,England,E92000001,2020-06-24,728,240403
nation,England,E92000001,2020-06-23,730,239675
nation,England,E92000001,2020-06-22,815,238945
nation,England,E92000001,2020-06-21,550,238130
nation,England,E92000001,2020-06-20,628,237580
nation,England,E92000001,2020-06-19,820,236952
nation,England,E92000001,2020-06-18,943,236132
nation,England,E92000001,2020-06-17,910,235189
nation,England,E92000001,2020-06-16,992,234279
nation,England,E92000001,2020-06-15,937,233287
nation,England,E92000001,2020-06-14,744,232350
nation,England,E92000001,2020-06-13,789,231606
nation,England,E92000001,2020-06-12,943,230817
nation,England,E92000001,2020-06-11,912,229874
nation,England,E92000001,2020-06-10,1080,228962
nation,England,E92000001,2020-06-09,1054,227882
nation,England,E92000001,2020-06-08,991,226828
nation,England,E92000001,2020-06-07,666,225837
nation,England,E92000001,2020-06-06,725,225171
nation,England,E92000001,2020-06-05,1022,224446
nation,England,E92000001,2020-06-04,1144,223424
nation,England,E92000001,2020-06-03,1239,222280
nation,England,E92000001,2020-06-02,1348,221041
nation,England,E92000001,2020-06-01,1314,219693
nation,England,E92000001,2020-05-31,986,218379
nation,England,E92000001,2020-05-30,996,217393
nation,England,E92000001,2020-05-29,1371,216397
nation,England,E92000001,2020-05-28,1569,215026
nation,England,E92000001,2020-05-27,1609,213457
nation,England,E92000001,2020-05-26,1451,211848
nation,England,E92000001,2020-05-25,1376,210397
nation,England,E92000001,2020-05-24,1200,209021
nation,England,E92000001,2020-05-23,1301,207821
nation,England,E92000001,2020-05-22,1791,206520
nation,England,E92000001,2020-05-21,2267,204729
nation,England,E92000001,2020-05-20,2343,202462
nation,England,E92000001,2020-05-19,2583,200119
nation,England,E92000001,2020-05-18,2206,197536
nation,England,E92000001,2020-05-17,1588,195330
nation,England,E92000001,2020-05-16,1767,193742
nation,England,E92000001,2020-05-15,2128,191975
nation,England,E92000001,2020-05-14,2210,189847
nation,England,E92000001,2020-05-13,2884,187637
nation,England,E92000001,2020-05-12,2918,184753
nation,England,E92000001,2020-05-11,3061,181835
nation,England,E92000001,2020-05-10,2001,178774
nation,England,E92000001,2020-05-09,1793,176773
nation,England,E92000001,2020-05-08,2619,174980
nation,England,E92000001,2020-05-07,3204,172361
nation,England,E92000001,2020-05-06,3261,169157
nation,England,E92000001,2020-05-05,3140,165896
nation,England,E92000001,2020-05-04,2841,162756
nation,England,E92000001,2020-05-03,2630,159915
nation,England,E92000001,2020-05-02,2743,157285
nation,England,E92000001,2020-05-01,4082,154542
nation,England,E92000001,2020-04-30,4306,150460
nation,England,E92000001,2020-04-29,4726,146154
nation,England,E92000001,2020-04-28,4107,141428
nation,England,E92000001,2020-04-27,4026,137321
nation,England,E92000001,2020-04-26,3134,133295
nation,England,E92000001,2020-04-25,3372,130161
nation,England,E92000001,2020-04-24,4349,126789
nation,England,E92000001,2020-04-23,4559,122440
nation,England,E92000001,2020-04-22,4799,117881
nation,England,E92000001,2020-04-21,3976,113082
nation,England,E92000001,2020-04-20,3675,109106
nation,England,E92000001,2020-04-19,3471,105431
nation,England,E92000001,2020-04-18,4102,101960
nation,England,E92000001,2020-04-17,4065,97858
nation,England,E92000001,2020-04-16,4343,93793
nation,England,E92000001,2020-04-15,4215,89450
nation,England,E92000001,2020-04-14,3543,85235
nation,England,E92000001,2020-04-13,3432,81692
nation,England,E92000001,2020-04-12,2939,78260
nation,England,E92000001,2020-04-11,3058,75321
nation,England,E92000001,2020-04-10,3578,72263
nation,England,E92000001,2020-04-09,4058,68685
nation,England,E92000001,2020-04-08,4288,64627
nation,England,E92000001,2020-04-07,4565,60339
nation,England,E92000001,2020-04-06,4365,55774
nation,England,E92000001,2020-04-05,3075,51409
nation,England,E92000001,2020-04-04,3380,48334
nation,England,E92000001,2020-04-03,4082,44954
nation,England,E92000001,2020-04-02,4062,40872
nation,England,E92000001,2020-04-01,4120,36810
nation,England,E92000001,2020-03-31,3783,32690
nation,England,E92000001,2020-03-30,3517,28907
nation,England,E92000001,2020-03-29,2436,25390
nation,England,E92000001,2020-03-28,2369,22954
nation,England,E92000001,2020-03-27,2653,20585
nation,England,E92000001,2020-03-26,2608,17932
nation,England,E92000001,2020-03-25,2254,15324
nation,England,E92000001,2020-03-24,2025,13070
nation,England,E92000001,2020-03-23,2011,11045
nation,England,E92000001,2020-03-22,1206,9034
nation,England,E92000001,2020-03-21,1030,7828
nation,England,E92000001,2020-03-20,1088,6798
nation,England,E92000001,2020-03-19,927,5710
nation,England,E92000001,2020-03-18,908,4783
nation,England,E92000001,2020-03-17,681,3875
nation,England,E92000001,2020-03-16,543,3194
nation,England,E92000001,2020-03-15,396,2651
nation,England,E92000001,2020-03-14,315,2255
nation,England,E92000001,2020-03-13,392,1940
nation,England,E92000001,2020-03-12,414,1548
nation,England,E92000001,2020-03-11,353,1134
nation,England,E92000001,2020-03-10,227,781
nation,England,E92000001,2020-03-09,125,554
nation,England,E92000001,2020-03-08,50,429
nation,England,E92000001,2020-03-07,55,379
nation,England,E92000001,2020-03-06,73,324
nation,England,E92000001,2020-03-05,46,251
nation,England,E92000001,2020-03-04,49,205
nation,England,E92000001,2020-03-03,53,156
nation,England,E92000001,2020-03-02,38,103
nation,England,E92000001,2020-03-01,20,65
nation,England,E92000001,2020-02-29,5,45
nation,England,E92000001,2020-02-28,11,40
nation,England,E92000001,2020-02-27,7,29
nation,England,E92000001,2020-02-26,4,22
nation,England,E92000001,2020-02-25,5,18
nation,England,E92000001,2020-02-24,2,13
nation,England,E92000001,2020-02-23,1,11
nation,England,E92000001,2020-02-22,0,10
nation,England,E92000001,2020-02-21,1,10
nation,England,E92000001,2020-02-20,0,9
nation,England,E92000001,2020-02-19,0,9
nation,England,E92000001,2020-02-18,0,9
nation,England,E92000001,2020-02-17,0,9
nation,England,E92000001,2020-02-16,0,9
nation,England,E92000001,2020-02-15,0,9
nation,England,E92000001,2020-02-14,0,9
nation,England,E92000001,2020-02-13,0,9
nation,England,E92000001,2020-02-12,0,9
nation,England,E92000001,2020-02-11,1,9
nation,England,E92000001,2020-02-10,0,8
nation,England,E92000001,2020-02-09,1,8
nation,England,E92000001,2020-02-08,4,7
nation,England,E92000001,2020-02-07,0,3
nation,England,E92000001,2020-02-06,0,3
nation,England,E92000001,2020-02-05,1,3
nation,England,E92000001,2020-02-04,0,2
nation,England,E92000001,2020-02-03,0,2
nation,England,E92000001,2020-02-02,0,2
nation,England,E92000001,2020-02-01,0,2
nation,England,E92000001,2020-01-31,0,2
nation,England,E92000001,2020-01-30,2,2
nation,Northern Ireland,N92000002,2021-07-29,969,155268
nation,Northern Ireland,N92000002,2021-07-28,1403,154299
nation,Northern Ireland,N92000002,2021-07-27,1540,152896
nation,Northern Ireland,N92000002,2021-07-26,1395,151356
nation,Northern Ireland,N92000002,2021-07-25,1087,149961
nation,Northern Ireland,N92000002,2021-07-24,1121,148874
nation,Northern Ireland,N92000002,2021-07-23,1339,147753
nation,Northern Ireland,N92000002,2021-07-22,1414,146414
nation,Northern Ireland,N92000002,2021-07-21,1528,145000
nation,Northern Ireland,N92000002,2021-07-20,1549,143472
nation,Northern Ireland,N92000002,2021-07-19,1661,141923
nation,Northern Ireland,N92000002,2021-07-18,1012,140262
nation,Northern Ireland,N92000002,2021-07-17,1182,139250
nation,Northern Ireland,N92000002,2021-07-16,1409,138068
nation,Northern Ireland,N92000002,2021-07-15,1319,136659
nation,Northern Ireland,N92000002,2021-07-14,1139,135340
nation,Northern Ireland,N92000002,2021-07-13,881,134201
nation,Northern Ireland,N92000002,2021-07-12,517,133320
nation,Northern Ireland,N92000002,2021-07-11,495,132803
nation,Northern Ireland,N92000002,2021-07-10,488,132308
nation,Northern Ireland,N92000002,2021-07-09,604,131820
nation,Northern Ireland,N92000002,2021-07-08,637,131216
nation,Northern Ireland,N92000002,2021-07-07,634,130579
nation,Northern Ireland,N92000002,2021-07-06,545,129945
nation,Northern Ireland,N92000002,2021-07-05,515,129400
nation,Northern Ireland,N92000002,2021-07-04,388,128885
nation,Northern Ireland,N92000002,2021-07-03,353,128497
nation,Northern Ireland,N92000002,2021-07-02,391,128144
nation,Northern Ireland,N92000002,2021-07-01,428,127753
nation,Northern Ireland,N92000002,2021-06-30,423,127325
nation,Northern Ireland,N92000002,2021-06-29,407,126902
nation,Northern Ireland,N92000002,2021-06-28,322,126495
nation,Northern Ireland,N92000002,2021-06-27,210,126173
nation,Northern Ireland,N92000002,2021-06-26,249,125963
nation,Northern Ireland,N92000002,2021-06-25,264,125714
nation,Northern Ireland,N92000002,2021-06-24,230,125450
nation,Northern Ireland,N92000002,2021-06-23,208,125220
nation,Northern Ireland,N92000002,2021-06-22,206,125012
nation,Northern Ireland,N92000002,2021-06-21,192,124806
nation,Northern Ireland,N92000002,2021-06-20,132,124614
nation,Northern Ireland,N92000002,2021-06-19,123,124482
