Entity,Code,Day,people_fully_vaccinated_per_hundred
American Samoa,ASM,2021-04-15,27.36
American Samoa,ASM,2021-04-16,28.38
American Samoa,ASM,2021-04-17,28.38
American Samoa,ASM,2021-04-18,28.39
American Samoa,ASM,2021-04-19,28.39
American Samoa,ASM,2021-04-20,28.39
American Samoa,ASM,2021-04-21,28.46
American Samoa,ASM,2021-04-22,28.46
American Samoa,ASM,2021-04-23,29.55
American Samoa,ASM,2021-04-24,29.55
American Samoa,ASM,2021-04-25,29.72
American Samoa,ASM,2021-04-26,29.73
American Samoa,ASM,2021-04-27,29.9
American Samoa,ASM,2021-04-28,29.9
American Samoa,ASM,2021-04-29,30.37
American Samoa,ASM,2021-04-30,30.78
American Samoa,ASM,2021-05-01,30.78
American Samoa,ASM,2021-05-02,30.78
American Samoa,ASM,2021-05-03,30.78
American Samoa,ASM,2021-05-04,31.16
American Samoa,ASM,2021-05-05,31.24
American Samoa,ASM,2021-05-06,31.24
American Samoa,ASM,2021-05-07,31.77
American Samoa,ASM,2021-05-08,31.77
American Samoa,ASM,2021-05-09,31.77
American Samoa,ASM,2021-05-10,31.77
American Samoa,ASM,2021-05-11,31.78
American Samoa,ASM,2021-05-12,31.78
American Samoa,ASM,2021-05-13,32.16
American Samoa,ASM,2021-05-14,32.16
American Samoa,ASM,2021-05-15,32.65
American Samoa,ASM,2021-05-16,32.65
American Samoa,ASM,2021-05-17,32.65
American Samoa,ASM,2021-05-18,32.65
American Samoa,ASM,2021-05-19,33.5
American Samoa,ASM,2021-05-20,33.5
American Samoa,ASM,2021-05-21,33.94
American Samoa,ASM,2021-05-22,33.94
American Samoa,ASM,2021-05-23,33.94
American Samoa,ASM,2021-05-24,33.94
American Samoa,ASM,2021-05-25,33.94
American Samoa,ASM,2021-05-26,33.94
American Samoa,ASM,2021-05-27,34.57
American Samoa,ASM,2021-05-28,34.57
American Samoa,ASM,2021-05-29,34.57
American Samoa,ASM,2021-05-30,34.57
American Samoa,ASM,2021-06-01,34.57
American Samoa,ASM,2021-06-02,34.84
American Samoa,ASM,2021-06-03,34.84
American Samoa,ASM,2021-06-04,34.84
American Samoa,ASM,2021-06-05,35.18
American Samoa,ASM,2021-06-06,35.18
American Samoa,ASM,2021-06-07,35.18
American Samoa,ASM,2021-06-08,35.18
American Samoa,ASM,2021-06-09,35.18
American Samoa,ASM,2021-06-10,35.18
American Samoa,ASM,2021-06-11,35.48
American Samoa,ASM,2021-06-12,35.48
American Samoa,ASM,2021-06-13,35.78
American Samoa,ASM,2021-06-14,35.78
American Samoa,ASM,2021-06-15,36.1
American Samoa,ASM,2021-06-16,36.36
American Samoa,ASM,2021-06-17,36.36
American Samoa,ASM,2021-06-18,36.67
American Samoa,ASM,2021-06-19,36.67
American Samoa,ASM,2021-06-20,36.67
American Samoa,ASM,2021-06-21,36.67
American Samoa,ASM,2021-06-22,36.92
American Samoa,ASM,2021-06-23,36.92
American Samoa,ASM,2021-06-24,37.34
American Samoa,ASM,2021-06-25,37.65
American Samoa,ASM,2021-06-26,37.69
American Samoa,ASM,2021-06-27,37.69
American Samoa,ASM,2021-06-28,37.69
American Samoa,ASM,2021-06-29,37.69
American Samoa,ASM,2021-06-30,37.69
American Samoa,ASM,2021-07-01,38.23
American Samoa,ASM,2021-07-02,38.51
American Samoa,ASM,2021-07-03,38.57
American Samoa,ASM,2021-07-04,38.76
American Samoa,ASM,2021-07-06,38.76
American Samoa,ASM,2021-07-07,38.93
American Samoa,ASM,2021-07-08,38.99
American Samoa,ASM,2021-07-09,39.46
American Samoa,ASM,2021-07-10,39.5
American Samoa,ASM,2021-07-11,39.5
American Samoa,ASM,2021-07-12,39.5
American Samoa,ASM,2021-07-13,39.93
American Samoa,ASM,2021-07-14,40.2
American Samoa,ASM,2021-07-15,40.26
American Samoa,ASM,2021-07-16,40.55
American Samoa,ASM,2021-07-17,40.55
American Samoa,ASM,2021-07-18,40.55
American Samoa,ASM,2021-07-19,40.55
American Samoa,ASM,2021-07-20,40.66
American Samoa,ASM,2021-07-21,41.02
American Samoa,ASM,2021-07-22,41.06
American Samoa,ASM,2021-07-23,41.07
American Samoa,ASM,2021-07-24,41.29
American Samoa,ASM,2021-07-25,41.29
American Samoa,ASM,2021-07-26,42.03
American Samoa,ASM,2021-07-27,42.03
American Samoa,ASM,2021-07-28,42.3
Arizona,,2021-01-12,0.11
Arizona,,2021-01-13,0.17
Arizona,,2021-01-15,0.29
Arizona,,2021-01-19,0.42
Arizona,,2021-01-20,0.48
Arizona,,2021-01-21,0.57
Arizona,,2021-01-22,0.67
Arizona,,2021-01-23,0.76
Arizona,,2021-01-24,0.8
Arizona,,2021-01-25,0.86
Arizona,,2021-01-26,0.89
Arizona,,2021-01-27,0.95
Arizona,,2021-01-28,1.02
Arizona,,2021-01-29,1.11
Arizona,,2021-01-30,1.2
Arizona,,2021-01-31,1.27
Arizona,,2021-02-01,1.31
Arizona,,2021-02-02,1.33
Arizona,,2021-02-03,1.4
Arizona,,2021-02-04,1.53
Arizona,,2021-02-05,1.67
Arizona,,2021-02-06,1.87
Arizona,,2021-02-07,2.08
Arizona,,2021-02-08,2.22
Arizona,,2021-02-09,2.29
Arizona,,2021-02-10,2.44
Arizona,,2021-02-11,2.65
Arizona,,2021-02-12,2.86
Arizona,,2021-02-13,3.11
Arizona,,2021-02-14,3.37
Arizona,,2021-02-16,3.63
Arizona,,2021-02-17,3.68
Arizona,,2021-02-18,3.9
Arizona,,2021-02-19,4.61
Arizona,,2021-02-20,4.89
Arizona,,2021-02-21,5.17
Arizona,,2021-02-22,5.31
Arizona,,2021-02-23,5.4
Arizona,,2021-02-24,5.59
Arizona,,2021-02-25,5.94
Arizona,,2021-02-26,6.35
Arizona,,2021-02-27,6.74
Arizona,,2021-02-28,7.22
Arizona,,2021-03-01,7.64
Arizona,,2021-03-02,7.91
Arizona,,2021-03-03,8.26
Arizona,,2021-03-04,8.62
Arizona,,2021-03-05,9.04
Arizona,,2021-03-06,9.1
Arizona,,2021-03-07,9.82
Arizona,,2021-03-08,10.14
Arizona,,2021-03-09,10.31
Arizona,,2021-03-10,10.54
Arizona,,2021-03-11,10.88
Arizona,,2021-03-12,11.35
Arizona,,2021-03-13,11.8
Arizona,,2021-03-14,12.25
Arizona,,2021-03-15,12.55
Arizona,,2021-03-16,12.91
Arizona,,2021-03-17,13.13
Arizona,,2021-03-18,13.45
Arizona,,2021-03-19,13.49
Arizona,,2021-03-20,13.8
Arizona,,2021-03-21,14.14
Arizona,,2021-03-22,14.41
Arizona,,2021-03-23,14.56
Arizona,,2021-03-24,14.76
Arizona,,2021-03-25,15.23
Arizona,,2021-03-26,15.51
Arizona,,2021-03-27,15.85
Arizona,,2021-03-28,16.25
Arizona,,2021-03-29,16.56
Arizona,,2021-03-30,16.77
Arizona,,2021-03-31,17.07
Arizona,,2021-04-01,17.41
Arizona,,2021-04-02,17.84
Arizona,,2021-04-03,18.3
Arizona,,2021-04-04,18.77
Arizona,,2021-04-05,19.13
Arizona,,2021-04-06,19.23
Arizona,,2021-04-07,19.53
Arizona,,2021-04-08,19.97
Arizona,,2021-04-09,20.55
Arizona,,2021-04-10,21.16
Arizona,,2021-04-11,21.69
Arizona,,2021-04-12,22.01
Arizona,,2021-04-13,22.24
Arizona,,2021-04-14,22.58
Arizona,,2021-04-15,22.95
Arizona,,2021-04-16,23.39
Arizona,,2021-04-17,23.95
Arizona,,2021-04-18,24.46
Arizona,,2021-04-19,24.79
Arizona,,2021-04-20,25.03
Arizona,,2021-04-21,25.44
Arizona,,2021-04-22,25.87
Arizona,,2021-04-23,26.36
Arizona,,2021-04-24,26.87
Arizona,,2021-04-25,27.3
Arizona,,2021-04-26,27.61
Arizona,,2021-04-27,27.86
Arizona,,2021-04-28,28.19
Arizona,,2021-04-29,28.55
Arizona,,2021-04-30,28.95
Arizona,,2021-05-01,29.39
Arizona,,2021-05-02,29.72
Arizona,,2021-05-03,29.83
Arizona,,2021-05-04,29.99
Arizona,,2021-05-05,30.18
Arizona,,2021-05-06,30.53
Arizona,,2021-05-07,30.88
Arizona,,2021-05-08,31.24
Arizona,,2021-05-09,31.56
Arizona,,2021-05-10,31.91
Arizona,,2021-05-11,32.28
Arizona,,2021-05-12,32.46
Arizona,,2021-05-13,32.7
Arizona,,2021-05-14,32.93
Arizona,,2021-05-15,33.24
Arizona,,2021-05-16,33.52
Arizona,,2021-05-17,33.65
Arizona,,2021-05-18,33.76
Arizona,,2021-05-19,33.94
Arizona,,2021-05-20,34.1
Arizona,,2021-05-21,34.33
Arizona,,2021-05-22,34.65
Arizona,,2021-05-23,34.91
Arizona,,2021-05-24,35.1
Arizona,,2021-05-25,35.17
Arizona,,2021-05-26,35.28
Arizona,,2021-05-27,35.44
Arizona,,2021-05-28,35.62
Arizona,,2021-05-29,35.78
Arizona,,2021-05-30,35.94
Arizona,,2021-06-01,36.11
Arizona,,2021-06-02,36.15
Arizona,,2021-06-03,36.26
Arizona,,2021-06-04,36.39
Arizona,,2021-06-05,36.57
Arizona,,2021-06-06,36.76
Arizona,,2021-06-07,36.95
Arizona,,2021-06-08,37.06
Arizona,,2021-06-09,37.21
Arizona,,2021-06-10,37.22
Arizona,,2021-06-11,37.42
Arizona,,2021-06-12,37.68
Arizona,,2021-06-13,37.84
Arizona,,2021-06-14,37.99
Arizona,,2021-06-15,38.13
Arizona,,2021-06-16,38.14
Arizona,,2021-06-17,38.59
Arizona,,2021-06-18,38.73
Arizona,,2021-06-19,38.88
Arizona,,2021-06-20,39
Arizona,,2021-06-21,39.01
Arizona,,2021-06-22,39.19
Arizona,,2021-06-23,39.27
Arizona,,2021-06-24,39.36
Arizona,,2021-06-25,39.49
Arizona,,2021-06-26,39.63
Arizona,,2021-06-27,39.83
Arizona,,2021-06-28,40.1
Arizona,,2021-06-29,40.16
Arizona,,2021-06-30,40.24
Arizona,,2021-07-01,43.14
Arizona,,2021-07-02,43.25
Arizona,,2021-07-03,43.35
Arizona,,2021-07-04,43.5
Arizona,,2021-07-06,43.58
Arizona,,2021-07-07,43.62
Arizona,,2021-07-08,43.71
Arizona,,2021-07-09,43.81
Arizona,,2021-07-10,43.91
Arizona,,2021-07-11,44.01
Arizona,,2021-07-12,44.07
Arizona,,2021-07-13,44.12
Arizona,,2021-07-14,44.19
Arizona,,2021-07-15,44.26
Arizona,,2021-07-16,44.35
Arizona,,2021-07-17,44.42
Arizona,,2021-07-18,44.5
Arizona,,2021-07-19,44.55
Arizona,,2021-07-20,44.58
Arizona,,2021-07-21,44.64
Arizona,,2021-07-22,44.71
Arizona,,2021-07-23,44.78
Arizona,,2021-07-24,44.85
Arizona,,2021-07-25,44.92
Arizona,,2021-07-26,44.97
Arizona,,2021-07-27,45.01
Arizona,,2021-07-28,45.05
Arkansas,,2021-01-12,0
Arkansas,,2021-01-13,0.43
Arkansas,,2021-01-15,0.62
Arkansas,,2021-01-19,0.72
Arkansas,,2021-01-20,0.88
Arkansas,,2021-01-21,0.88
Arkansas,,2021-01-22,1.05
Arkansas,,2021-01-23,1.05
Arkansas,,2021-01-24,1.08
Arkansas,,2021-01-25,1.1
Arkansas,,2021-01-26,1.23
