VariableName,VariableLabel,Question,TopicValue,KeywordValue,VariableGroupValue
Wave,EQLS Wave,EQLS Wave,,,Administrative Variables
Y11_Country,Country,Country,Geographies,,Household Grid and Country
Y11_Q31,Marital status,Marital status,Social stratification and groupings - Family life and marriage,Marital status,Family and Social Life
Y11_Q32,No. of children,Number of children of your own,Social stratification and groupings - Family life and marriage,Children,Family and Social Life
Y11_ISCEDsimple,Education completed,Highest level of education completed,Education - Higher and further,Education levels,Education
Y11_Q49,Rural/urban living,The area in which you live is...?,"Environment, conservation and land use - Land use and planning",Urban Areas:  Rural Areas,Local Environment
Y11_Q67_1,Citizenship - Country,Citizenship 1: I am a citizen of [COUNTRY],Society and culture - Social attitudes and behaviour,Citizenship,Citizenship
Y11_Q67_2,Citizenship - Another EU member,Citizenship 2: I am a citizen of another EU member state,Society and culture - Social attitudes and behaviour,Citizenship,Citizenship
Y11_Q67_3,Citizenship - A non-EU country,Citizenship 3: I am a citizen of a non-EU country,Society and culture - Social attitudes and behaviour,Citizenship,Citizenship
Y11_Q67_4,Citizenship - Don't know,Citizenship 4: Don't know,Society and culture - Social attitudes and behaviour,Citizenship,Citizenship
Y11_Q67_5,Citizenship - Refusal,Citizenship 5: Refusal,Society and culture - Social attitudes and behaviour,Citizenship,Citizenship
Y11_Agecategory,Age,Age of the respondent (5 categories),Social stratification and groupings - General,Age,Household Grid and Country
Y11_HH2a,Gender,Gender of the respondent,Social stratification and groupings - General,Gender,Household Grid and Country
Y11_HHsize,Household size,Household size (incl. children),Social stratification and groupings - General,Households,Household Grid and Country
Y11_HHsize18plus,Household size - over 18,Household size: number of members 18+,Social stratification and groupings - General,Households,Household Grid and Country
Y11_HHstructure,Household structure,Household structure,Social stratification and groupings - General,Households,Household Grid and Country
Y11_Education,Education - 3 groups,Education (3 categories),Education - general,Education background,Household Grid and Country
Y11_EmploymentStatus,Employment - 7 groups,Employment status (7 categories),Employment and labour - General,Status in employment,Household Grid and Country
Y11_Incomequartiles_percapita,Income quartiles,Income quartiles based on equivalised income (Y11_Income_percapita by Y11_Country),"Economics - Income, property and investment",Income,Household Grid and Country
Y11_RuralUrban,DV: Rural/urban living,Rural or urban area based on response to Y11_Q49,"Environment, conservation and land use - Land use and planning",Urban Areas: Rural Areas,Derived Variables
Y11_Degurba,Degree of urbanisation,Degree of urbanisation based on Eurostat data matching,"Environment, conservation and land use - Land use and planning",Urban Areas: Rural Areas,Household Grid and Country
Y11_CountryGroupEU28,Country group,Country Group: EU28 - EU countries in 2013 (includes Croatia),Geographies,European Union Member States,Household Grid and Country
Y11_Q33a,Direct contact with children,How often direct face-to-face contact with: Any of your children (living outside your household)?,Social stratification and groupings - Family life and marriage,Family life,Family and Social Life
Y11_Q33b,Direct contact with parents,How often direct face-to-face contact with: Your mother or father (living outside your household)?,Social stratification and groupings - Family life and marriage,Family life,Family and Social Life
Y11_Q33c,Direct contact with other relatives,"How often direct face-to-face contact with: Any brother, sister or other relative (living outside your household)?",Social stratification and groupings - Family life and marriage,Family life,Family and Social Life
Y11_Q33d,Direct contact with neighbours,How often direct face-to-face contact with: Any of your friends or neighbours (living outside your household)?,Social stratification and groupings - General,Social support,Family and Social Life
Y11_Q34a,Phone/internet contact with children,"How often contact by phone, the Internet or by post with: Any of your children (living outside your household)?",Social stratification and groupings - Family life and marriage,Family life,Family and Social Life
Y11_Q34b,Phone/internet contact with parents,"How often contact by phone, the Internet or by post with: Your mother or father (living outside your household)?",Social stratification and groupings - Family life and marriage,Family life,Family and Social Life
Y11_Q34c,Phone/internet contact with other relatives,"How often contact by phone, the Internet or by post with: Any brother, sister or other relative (living outside your household)?",Social stratification and groupings - Family life and marriage,Family life,Family and Social Life
Y11_Q34d,Phone/internet contact with neighbours,"How often contact by phone, the Internet or by post with: Any of your friends or neighbours (living outside your household)?",Social stratification and groupings - General,Family life,Family and Social Life
Y11_Q35a,A person to get support from to help around house ,From whom would you get: Support to help around the house when ill? The most important person only.,Social stratification and groupings - Family life and marriage,Social support,Family and Social Life
Y11_Q35b,A person to get advice from about a personal/family matter,From whom would you get: Advice about a serious personal or family matter? The most important person only.,Social stratification and groupings - Family life and marriage,Social support,Family and Social Life
Y11_Q35c,A person to get support from when looking for a job,From whom would you get: Support when looking for a job? The most important person only.,Social stratification and groupings - Family life and marriage,Social support,Family and Social Life
Y11_Q35d,A person to get support from when feeling depressed,From whom would you get: Support when feeling a bit depressed and wanting to talk? The most important person only. ,Social stratification and groupings - Family life and marriage,Social support,Family and Social Life
Y11_Q35e,A person to get support from to raise emergency money,From whom would you get: Support to urgently raise money to face an emergency? The most important person only.,Social stratification and groupings - Family life and marriage,Social support,Family and Social Life
Y11_Q42,Health condition,"In general, your health is …?",Health - General,Health,Health
Y11_Q43,Chronic health problems?,"Any chronic (long-standing) physical or mental health problem, illness or disability?",Health - Specific diseases and medical conditions,Debilitative illness,Health
Y11_Q44,Limited by chronic health problems?,"Are you limited in your daily activities by this physical or mental health problem, illness or disability?",Health - Specific diseases and medical conditions,Debilitative illness,Health
Y11_Q17,No. of rooms in accommodation,"How many rooms does the accommodation in which you live have? Excl. kitchen, bathrooms, hallways, storerooms and rooms used solely for business.",Housing,Housing tenure,Housing
Y11_Q18,Tenure,Which of the following best describes your accommodation?,Housing,Housing tenure,Housing
Y11_Q19a,Problems with accommodation - space,Problems with your accommodation: Shortage of space?,Housing,Housing conditions,Housing
Y11_Q19b,Problems with accommodation - rot in windows etc.,"Problems with your accommodation: Rot in windows, doors or floors?",Housing,Housing conditions,Housing
Y11_Q19c,Problems with accommodation - damp or leaks,Problems with your accommodation: Damp or leaks in walls or roof?,Housing,Housing conditions,Housing
Y11_Q19d,Problems with accommodation - no toilet,Problems with your accommodation: Lack of indoor flushing toilet?,Housing,Housing conditions,Housing
Y11_Q19e,Problems with accommodation - no bath/shower,Problems with your accommodation: Lack of bath or shower?,Housing,Housing conditions,Housing
Y11_Q19f,Problems with accommodation - no outside space,"Problems with your accommodation: Lack of place to sit outside (e.g. garden, balcony, terrace)?",Housing,Housing conditions,Housing
Y11_Q20,Likelihood of leaving accom within 6 months,How likely need to leave your accom within the next 6mths because you can no longer afford it?,Housing,Housing tenure,Housing
Y11_Q50a,Neighbourhood problems - noise,Thinking of your immediate neighbourhood - do you have problems with: Noise?,Society and culture - Social attitudes and behaviour,Neighbourhoods,Local Environment
Y11_Q50b,Neighbourhood problems - air quality,Thinking of your immediate neighbourhood - do you have problems with: Air quality?,Society and culture - Social attitudes and behaviour,Neighbourhoods,Local Environment
Y11_Q50c,Neighbourhood problems - quality of drinking water,Thinking of your immediate neighbourhood - do you have problems with: Quality of drinking water?,Society and culture - Social attitudes and behaviour,Neighbourhoods,Local Environment
Y11_Q50d,"Neighbourhood problems - crime, violence or vandalism","Thinking of your immediate neighbourhood - do you have problems with: Crime, violence or vandalism?",Society and culture - Social attitudes and behaviour,Neighbourhoods,Local Environment
Y11_Q50e,Neighbourhood problems - litter or rubbish,Thinking of your immediate neighbourhood - do you have problems with: Litter or rubbish on the street?,Society and culture - Social attitudes and behaviour,Neighbourhoods,Local Environment
Y11_Q50f,Neighbourhood problems - traffic,Thinking of your immediate neighbourhood - do you have problems with: Traffic congestion?,Society and culture - Social attitudes and behaviour,Neighbourhoods,Local Environment
